,name,gender,time,place,timezone,Rodden Rating,Category
208,"


Ábrego, Juan García
"," M

","13 September 1944 at 02:00  (= 02:00 AM )
","Matamoros (Tamaulipas), Mexico, 25n53,  97w30 
","CST h6w (is standard time)
",AA,"1944 births&Birthday 13 September&Birthplace Matamoros (Tamaulipas), MEX&Sun 20 Virgo&Moon 4 Leo&Asc 23 Cancer&Passions : Criminal Perpetrator : Drug business"
209,"


Abrell, Charles G.
"," M

","12 August 1931 at 08:04  (= 08:04 AM )
","Terre Haute, Indiana, 39n28,  87w25 
","CST h6w (is standard time)
",AA,"1931 births&Birthday 12 August&Birthplace Terre Haute, IN (US)&Sun 18 Leo&Moon 1 Leo&Asc 24 Virgo&1951 deaths&Personal : Death : Short Life less than 29 Yrs&Vocation : Military : Combat&Vocation : Military : Honors&Vocation : Military : Killed&Vocation : Military : Military career&Vocation : Military : Military service&Vocation : Military : Wounded"
210,"


Abreu, Cláudia
"," F

","12 October 1970 at 10:55  (= 10:55 AM )
","Rio De Janeiro, Brazil, 22s53,  43w0613 
","BZT h3w (is standard time)
",A,"1970 births&Birthday 12 October&Birthplace Rio De Janeiro, BRAS&Sun 18 Libra&Moon 17 Pisces&Asc 15 Capricorn&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Live Stage&Vocation : Entertainment : TV series/ Soap star"
211,"


Abreu, José de
"," M

","24 May 1946 at 01:00  (= 01:00 AM )
","Santa Rita do Passa Quatro (São Paulo), Brazil, 21s4237,  47w2841 
","BZT h3w (is standard time)
",C,"1946 births&Birthday 24 May&Birthplace Santa Rita do Passa Quatro (São Paulo), BRAS&Sun 2 Gemini&Moon 2 Pisces&Asc 14 Pisces&Family : Parenting : Kids more than 3&Passions : Sexuality : Bi-Sexual&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : TV series/ Soap star&Vocation : Politics : Activist/ political"
212,"


Abreu Gómez, Ermilo
"," M

","18 September 1894 at 09:00  (= 09:00 AM )
","Mérida (Yucatan), Mexico, 20n58,  89w37 
","LMT m89w37 (is local mean time)
",AA,"1894 births&Birthday 18 September&Birthplace Mérida (Yucatan), MEX&Sun 25 Virgo&Moon 6 Taurus&Asc 9 Scorpio&1971 deaths&Vocation : Education : Teacher&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Fiction"
213,"


Abrial, Jean
"," M

","17 December 1879 at 13:00  (= 1:00 PM )
","Réalmont, France, 43n47,  2e12 
","LMT m2e12 (is local mean time)
",AA,"1879 births&Birthday 17 December&Birthplace Réalmont, FR&Sun 25 Sagittarius&Moon 20 Aquarius&Asc 19 Aries&Passions : Criminal Perpetrator : Civil/ Political&Passions : Criminal Perpetrator : Prison sentence&Personal : Death : Long life more than 80 yrs&Vocation : Military : Military career&Vocation : Politics : Public office&Notable : Book Collection : Crime Collection"
214,"


Abrial, Stéphane
"," M

","7 September 1954 at 10:00  (= 10:00 AM )
","Condom, France, 43n58,  0e22 
","MET h1e (is standard time)
",AA,"1954 births&Birthday 7 September&Birthplace Condom, FR&Sun 14 Virgo&Moon 5 Capricorn&Asc 23 Libra&Vocation : Military : Military career&Vocation : Travel : Aviation field"
215,"


Abrial, Stéphane
"," M

","7 September 1954 at 10:00  (= 10:00 AM )
","Condom, France, 43n58,  0e22 
","MET h1e (is standard time)
",AA,"1954 births&Birthday 7 September&Birthplace Condom, FR&Sun 14 Virgo&Moon 5 Capricorn&Asc 23 Libra&Vocation : Military : Military career&Vocation : Travel : Aviation field"
216,"


Abric, Pierre
"," M

","26 May 1943 at 09:30  (= 09:30 AM )
","Tunis, Tunisia, 36n48,  10e11 
","MEDT h2e (is daylight saving time)
",AA,"1943 births&Birthday 26 May&Birthplace Tunis, TUN&Sun 4 Gemini&Moon 0 Pisces&Asc 21 Cancer&Vocation : Medical : Other Medical Vocations"
217,"


Abril, Victoria
"," F

","4 July 1959 at 15:03  (= 3:03 PM )
","Madrid, Spain, 40n24,  3w41 
","MET h1e (is standard time)
",A,"1959 births&Birthday 4 July&Birthplace Madrid, SPAIN&Sun 11 Cancer&Moon 24 Gemini&Asc 0 Scorpio&Vocation : Entertainment : Actor/ Actress&Notable : Book Collection : Profiles Of Women"
218,"


Abril de Vivero, Pablo
"," M

","28 October 1894 at 21:30  (= 9:30 PM )
","Lima, Peru, 12s03,  77w03 
","LMT m77w09 (is local mean time)
",AA,"1894 births&Birthday 28 October&Birthplace Lima, PERU&Sun 5 Scorpio&Moon 10 Scorpio&Asc 25 Gemini&Vocation : Writers : Poet"
219,"


Abrioux, Paul
"," M

","22 October 1908 at 12:00  (= 12:00 noon )
","Dijon, France, 47n19,  5e01 
","LST m2e2015 (is standard time)
",AA,"1908 births&Birthday 22 October&Birthplace Dijon, FR&Sun 28 Libra&Moon 27 Virgo&Asc 4 Capricorn&1951 deaths&Vocation : Travel : Aviation field"
220,"


Abromeit, Susie
"," F

","15 November 1982 at 21:55  (= 9:55 PM )
","Boston, Massachusetts, 42n22,  71w04 
","EST h5w (is standard time)
",AA,"1982 births&Birthday 15 November&Birthplace Boston, MA (US)&Sun 23 Scorpio&Moon 29 Scorpio&Asc 11 Leo&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : TV series/ Soap star&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
221,"


Abs, Otto
"," M

","30 November 1891 at 22:00  (= 10:00 PM )
","Stettin, Germany, 53n26,  14e34 
","LMT m14e34 (is local mean time)
",AA,"1891 births&Birthday 30 November&Birthplace Stettin, GER&Sun 8 Sagittarius&Moon 1 Sagittarius&Asc 25 Leo&1966 deaths&Vocation : Education : Researcher&Vocation : Medical : Physician&Vocation : Politics : Nazi party&Vocation : Writers : Textbook/ Non-fiction"
222,"


Absalon, Julien
"," M

","16 August 1980 at 03:08  (= 03:08 AM )
","Remiremont, France, 48n01,  6e35 
","MEDT h2e (is daylight saving time)
",AA,"1980 births&Birthday 16 August&Birthplace Remiremont, FR&Sun 23 Leo&Moon 21 Libra&Asc 14 Cancer&Vocation : Sports : Other Sports&Notable : Awards : Olympics"
223,"


Absil, Jean
"," M

","23 October 1893 at 23:00  (= 11:00 PM )
","Bon Secours, Belgium, 50n30,  3e36 
","GMT h0e (is standard time)
",AA,"1893 births&Birthday 23 October&Birthplace Bon Secours, BEL&Sun 0 Scorpio&Moon 12 Aries&Asc 11 Leo&1974 deaths&Lifestyle : Social Life : Sports&Personal : Death : Long life more than 80 yrs&Vocation : Business/Marketing : Product Marketing&Vocation : Education : Administrator&Vocation : Entertain/Music : Composer/ Arranger&Vocation : Entertain/Music : Conductor&Notable : Book Collection : Culture Collection"
224,"


Absillis, Christian
"," M

","15 February 1979 at 14:05  (= 2:05 PM )
","Charleroi, Belgium, 50n25,  4e26 
","CET h1e (is standard time)
",AA,"1979 births&Birthday 15 February&Birthplace Charleroi, BEL&Sun 26 Aquarius&Moon 3 Libra&Asc 14 Cancer&Passions : Criminal Perpetrator : Kidnapper&Passions : Criminal Perpetrator : Prison sentence&Passions : Criminal Perpetrator : Rapist/ Sex crime&Notable : Famous : Criminal cases"
225,"


Abu-Jamal, Mumia
"," M

","24 April 1954
","Philadelphia, Pennsylvania, 39n57,  75w10 
","EST h5w (is standard time)
",X,"1954 births&Birthday 24 April&Birthplace Philadelphia, PA (US)&Sun 3 Taurus&Passions : Criminal Perpetrator : Homicide single&Passions : Criminal Perpetrator : Prison sentence&Vocation : Writers : Columnist/ journalist"
226,"


Abécassis, Eliette
"," F

","27 January 1969 at 09:50  (= 09:50 AM )
","Strassburg, France, 48n35,  7e45 
","MET h1e (is standard time)
",AA,"1969 births&Birthday 27 January&Birthplace Strassburg, FR&Sun 7 Aquarius&Moon 29 Taurus&Asc 22 Pisces&Personal : Religion/Spirituality : Philosopher/ Humanist&Vocation : Education : Researcher&Vocation : Education : Teacher&Vocation : Writers : Detective/ Mystery"
227,"


Acampora, Enzo
"," M

","16 May 1947 at 08:40  (= 08:40 AM )
","Naples, Italy, 40n51,  14e17 
","MEDT h2e (is daylight saving time)
",A,"1947 births&Birthday 16 May&Birthplace Naples, ITALY&Sun 24 Taurus&Moon 28 Pisces&Asc 8 Cancer&Vocation : Occult Fields : Astrologer&Vocation : Writers : Other Writers"
228,"


Accambray, Jacques
"," M

","23 May 1950 at 06:15  (= 06:15 AM )
","Divion, France, 50n28,  2e30 
","MET h1e (is standard time)
",AA,"1950 births&Birthday 23 May&Birthplace Divion, FR&Sun 1 Gemini&Moon 11 Leo&Asc 23 Gemini&Vocation : Sports : Track and Field"
229,"


Accard, Robert
"," M

","26 November 1897 at 22:00  (= 10:00 PM )
","Lisieux, France, 49n09,  0e14 
","LST m2e2015 (is standard time)
",AA,"1897 births&Birthday 26 November&Birthplace Lisieux, FR&Sun 4 Sagittarius&Moon 10 Capricorn&Asc 19 Leo&1971 deaths&Vocation : Sports : Soccer (Eur.Football)"
230,"


Accardo, Salvatore
"," M

","26 September 1941 at 02:00  (= 02:00 AM )
","Torino, Italy, 45n03,  7e40 
","MEDT h2e (is daylight saving time)
",AA,"1941 births&Birthday 26 September&Birthplace Torino, ITALY&Sun 2 Libra&Moon 8 Sagittarius&Asc 1 Leo&Traits : Mind : Child prodigy&Lifestyle : Work : Travel for work&Vocation : Education : Administrator&Vocation : Entertainment : Child performer&Vocation : Entertain/Music : Conductor&Vocation : Entertain/Music : Instrumentalist&Vocation : Writers : How To ....&Notable : Book Collection : Culture Collection"
231,"


Accart, Jean
"," M

","7 April 1912 at 22:45  (= 10:45 PM )
","Fécamp, France, 49n45,  0e22 
","GMT h0e (is standard time)
",AA,"1912 births&Birthday 7 April&Birthplace Fécamp, FR&Sun 17 Aries&Moon 29 Sagittarius&Asc 2 Sagittarius&1992 deaths&Vocation : Travel : Aviation field"
232,"


Accetti, Paride
"," M

","27 March 1921 at 13:45  (= 1:45 PM )
","Milan, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",AA,"1921 births&Birthday 27 March&Birthplace Milan, ITALY&Sun 6 Aries&Moon 22 Scorpio&Asc 11 Leo&Vocation : Business : Top executive&Vocation : Law : Attorney"
233,"


Accident: Aberfan mine disaster
"," N/A

","21 October 1966 at 09:15  (= 09:15 AM )
","Merthyr Tydfil, Wales, 51n46,  3w23 
","GDT h1e (is daylight saving time)
",A,Pages with broken file links&Mundane : Disasters : Accidents
234,"


Accident:Darmstadt Theatre fire
"," N/A

","24 October 1871 at 16:30  (= 4:30 PM )
","Darmstadt, Germany, 49n53,  8e40 
","LMT m8e40 (is local mean time)
",A,Lifestyle : Work : Hazardous work&Vocation : Entertainment : Live Stage&Mundane : Disasters : Accidents
235,"


Accident: Seveso disaster
"," N/A

","10 July 1976 at 12:37  (= 12:37 PM )
","Seveso, Italy, 45n39,  9e09 
","MEDT h2e (is daylight saving time)
",A,Diagnoses : Major Diseases : Allergies&Mundane : Disasters : Accidents
236,"


Accident: Ship explosion
"," N/A

","3 November 1893 at 16:45  (= 4:45 PM )
","Santander, Spain, 43n28,  3w48 
","LMT m3w48 (is local mean time)
",A,Mundane : Disasters : Deranged Actions
237,"


Accident: Ustica affair
"," N/A

","27 June 1980 at 20:59  (= 8:59 PM )
","Ustica, Italy, 38n42,  13e11 
","MEDT h2e (is daylight saving time)
",A,Vocation : Military : Combat&Mundane : Political : Military action&Mundane : Misc. Mundane : Miracle/ Mystery
238,"


Accident: Ponte Morandi bridge collapse, Genoa
"," N/A

","14 August 2018 at 11:36  (= 11:36 AM )
","Genoa, Italy, 44n25,  8e57 
","CEST h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
239,"


Accident: 1947 Ocean Liberty explosion, France
"," N/A

","28 July 1947 at 17:24  (= 5:24 PM )
","Brest, France, 48n24,  4w29 
","CET h1e (is standard time)
",AA,Mundane : Disasters : Accidents
240,"


Accident: 1955 Le Mans disaster
"," N/A

","11 June 1955 at 18:28  (= 6:28 PM )
","Le Mans, France, 48n0,  0e12 
","CET h1e (is standard time)
",A,Mundane : Disasters : Accidents
241,"


Accident: 1992 Airbus A320 crash, Strasbourg
"," N/A

","20 January 1992 at 19:20  (= 7:20 PM )
","Barr, France, 48n24,  7e27 
","CET h1e (is standard time)
",A,Mundane : Disasters : Accidents
242,"


Accident: 2013 Monteforte Irpino bus crash
"," N/A

","28 July 2013 at 20:30  (= 8:30 PM )
","Monteforte Irpino, Italy, 40n54,  14e42 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
243,"


Accident: 2015 Tianjin explosion
"," N/A

","12 August 2015 at 23:36  (= 11:36 PM )
","Tianjin (Tianjin Shi), China, 39n0832,  117e1036 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Accidents
245,"


Accident: 2020 Beirut explosions
"," N/A

","4 August 2020 at 18:08  (= 6:08 PM )
","Beirut, Lebanon, 33n53,  35e30 
","EEST h3e (is daylight saving time)
",A,Mundane : Disasters : Accidents
246,"


Accident: 2020 Tarragona explosion
"," N/A

","14 January 2020 at 18:40  (= 6:40 PM )
","Tarragona, Spain, 41n07,  1e15 
","CET h1e (is standard time)
",A,Mundane : Disasters : Accidents
247,"


Accident: 2021 Mount Meron Crush
"," N/A

","30 April 2021 at 00:50  (= 12:50 AM )
","Meron, Israel, 32n59,  35e26 
","IDT h3e (is daylight saving time)
",A,Mundane : Disasters : Accidents
248,"


Accident: 2022 Airbus 318 engine fire, Paris
"," N/A

","21 January 2022 at 20:45  (= 8:45 PM )
","Paris, France, 48n52,  2e20 
","CET h1e (is standard time)
",A,Mundane : Disasters : Accidents
249,"


Accident: 2022 Airbus 318 engine fire, Paris
"," N/A

","21 January 2022 at 20:45  (= 8:45 PM )
","Paris, France, 48n52,  2e20 
","CET h1e (is standard time)
",A,Mundane : Disasters : Accidents
250,"


Accident: 2023 Tempe train crash, Greece
"," N/A

","28 February 2023 at 23:21  (= 11:21 PM )
","Evangelismos, Greece, 39n5002,  22e3101 
","EET h2e (is standard time)
",A,Mundane : Disasters : Accidents
251,"


Accident: Aberfan mine disaster
"," N/A

","21 October 1966 at 09:15  (= 09:15 AM )
","Merthyr Tydfil, Wales, 51n46,  3w23 
","GDT h1e (is daylight saving time)
",A,Pages with broken file links&Mundane : Disasters : Accidents
252,"


Accident: Air France Lockheed Constellation Crash
"," N/A

","28 October 1949 at 02:51  (= 02:51 AM )
","Azores, Portugal, 37n44,  25w40 
","AZT h2w (is standard time)
",A,Mundane : Disasters : Accidents
253,"


Accident: Aircraft Explosion
"," N/A

","10 December 1993 at 07:00  (= 07:00 AM )
","Milwaukee, Wisconsin, 43n02,  87w54 
","CST h6w (is standard time)
",A,Mundane : Disasters : Accidents
254,"


Accident: Amtrak Iowa
"," N/A

","17 March 2001 at 23:40  (= 11:40 PM )
","Nodaway, Iowa, 40n56,  94w54 
","CST h6w (is standard time)
",A,Mundane : Disasters : Accidents
255,"


Accident: Amtrak Utah
"," N/A

","13 September 2001 at 17:30  (= 5:30 PM )
","Wendover, Nevada, 40n44,  114w02 
","MDT h6w (is daylight saving time)
",A,
256,"


Accident: Apollo 1 (Fire)
"," N/A

","27 January 1967 at 06:31:05  (= 06:31:05 AM )
","Cape Canaveral, Florida, 28n24,  80w36 
","EST h5w (is standard time)
",AA,Mundane : Disasters : Accidents&Mundane : Medical/Science : Space
257,"


Accident: Arecibo telescope collapse
"," N/A

","1 December 2020 at 07:53:50  (= 07:53:50 AM )
","Arecibo Observatory, Puerto Rico, 18n2039,  66w4510 
","AST h4w (is standard time)
",AA,Mundane : Disasters : Other Disasters
258,"


Accident: Austrian Train Wreck
"," N/A

","11 November 2000 at 09:00  (= 09:00 AM )
","Kaprun, Austria, 47n16,  12e46 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
259,"


Accident: BP Oil Rig Explosion
"," N/A

","20 April 2010 at 22:00  (= 10:00 PM )
","Venice, Louisiana, 29n17,  89w21 
","CDT h5w (is daylight saving time)
",A,Mundane : Disasters : Accidents
260,"


Accident: Bad Aibling rail collision
"," N/A

","9 February 2016 at 06:48  (= 06:48 AM )
","Bad Aibling, Germany, 47n52,  12e0 
","MET h1e (is standard time)
",A,"2016 births&Birthday 9 February&Birthplace Bad Aibling, GER&Sun 19 Aquarius&Moon 28 Aquarius&Asc 2 Aquarius&Mundane : Disasters : Accidents"
261,"


Accident: Belgian train
"," N/A

","27 March 2001 at 08:45  (= 08:45 AM )
","Brussels, Belgium, 50n50,  4e20 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
262,"


Accident: Bhopal gas explosion
"," N/A

","3 December 1984 at 00:35  (= 12:35 AM )
","Bhopal, India, 23n16,  77e24 
","IST h5e30 (is standard time)
",AA,Mundane : Disasters : Accidents
263,"


Accident: Blackout São Paulo 1999
"," N/A

","11 March 1999 at 10:18  (= 10:18 AM )
","São Paulo, Brazil, 23s3251,  46w3810 
","BZT h3w (is standard time)
",A,Mundane : Disasters : Accidents
264,"


Accident: Bridge Collapse MN
"," N/A

","1 August 2007 at 18:05  (= 6:05 PM )
","Minneapolis, Minnesota, 44n59,  93w16 
","CDT h5w (is daylight saving time)
",A,Mundane : Disasters : Accidents
265,"


Accident: Buenos Aires Fire
"," N/A

","30 December 2004 at 23:00  (= 11:00 PM )
","Buenos Aires, Argentina, 34s36,  58w27 
","BZT h3w (is standard time)
",A,Mundane : Disasters : Accidents
266,"


Accident: Bus Crash
"," N/A

","2 March 2007 at 05:30  (= 05:30 AM )
","Atlanta, Georgia (US), 33n45,  84w23 
","EST h5w (is standard time)
",A,Mundane : Disasters : Accidents
267,"


Accident: Bus Crash Switzerland
"," N/A

","13 March 2012 at 21:15  (= 9:15 PM )
","Siders, Switzerland, 46n18,  7e32 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
268,"


Accident: 2013 Monteforte Irpino bus crash
"," N/A

","28 July 2013 at 20:30  (= 8:30 PM )
","Monteforte Irpino, Italy, 40n54,  14e42 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
269,"


Accident: Cable Car
"," N/A

","11 November 2000 at 09:10  (= 09:10 AM )
","Kaprun, Austria, 47n16,  12e46 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
270,"


Accident: Carbon Monoxide
"," N/A

","21 May 1995 at 21:00  (= 9:00 PM )
","Bellencombre, France, 49n42,  1e14 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents&Mundane : Disasters : Natural Disasters
271,"


Accident: Chernobyl Explosion
"," N/A

","26 April 1986 at 01:23  (= 01:23 AM )
","Chernobyl Accident site, Ukraine, 51n2323,  30e0557 
","MSD h4e (is daylight saving time)
",A,Mundane : Disasters : Accidents&Mundane : Disasters : Other Disasters
272,"


Accident: Chicago Fire
"," N/A

","8 October 1871 at 23:00  (= 11:00 PM )
","Chicago, Illinois, 41n51,  87w39 
","LMT m87w39 (is local mean time)
",C,Mundane : Disasters : Other Disasters
273,"


Accident: Collision Puisseguin
"," N/A

","23 October 2015 at 07:30  (= 07:30 AM )
","Libourne, France, 44n55,  0w14 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
274,"


Accident: Collision Puisseguin
"," N/A

","23 October 2015 at 07:30  (= 07:30 AM )
","Libourne, France, 44n55,  0w14 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
275,"


Accident: Concorde
"," N/A

","25 July 2000 at 16:46  (= 4:46 PM )
","Gonesse, France, 48n59,  2e27 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
276,"


Accident: Construction Crane Collapse (Toul, FR)
"," N/A

","26 January 1995 at 16:18  (= 4:18 PM )
","Toul, France, 48n41,  5e54 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
277,"


Accident: Copiapo mining collapse
"," N/A

","5 August 2010 at 14:00  (= 2:00 PM )
","Copiapó, Chile, 27s22,  70w20 
","AST h4w (is standard time)
",A,Mundane : Disasters : Accidents
278,"


Accident: Costa Concordia capsize
"," N/A

","13 January 2012 at 20:45:05  (= 8:45 PM )
","Giglio Porto, Italy, 42n22,  10e55 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
279,"


Plane Crash: Cubana de Aviacion, Flight 972
"," N/A

","18 May 2018 at 12:08  (= 12:08 PM )
","Santiago de las Vagas, Cuba, 22n5839,  82w2241 
","CDT h4w (is daylight saving time)
",A,Mundane : Disasters : Accidents
280,"


Accident: Cygnus explosion (spacecraft))
"," N/A

","29 October 2014 at 18:22:38  (= 6:22 PM )
","Wallops Flight Facility, Virginia, 37n5625,  75w2759 
","EDT h4w (is daylight saving time)
",AA,Mundane : Disasters : Accidents
281,"


Accident: Eastbourne rail crash
"," N/A

","25 August 1958 at 07:27  (= 07:27 AM )
","Eastbourne, England, 50n46,  0e17 
","BST h1e (is daylight saving time)
",A,Mundane : Disasters : Accidents
282,"


Accident: Electric Explosion
"," N/A

","3 January 2001 at 11:45  (= 11:45 AM )
","Everett, Massachusetts, 42n25,  71w03 
","EST h5w (is standard time)
",A,Mundane : Disasters : Accidents
283,"


Accident: Enschede Fireworks Disaster
"," N/A

","13 May 2000 at 15:34  (= 3:34 PM )
","Enschede, Netherlands, 52n13,  6e54 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
284,"


Accident: Explosion Tokyo
"," N/A

","1 September 2001 at 01:00  (= 01:00 AM )
","Tokyo, Japan, 35n42,  139e46 
","JST h9e (is standard time)
",A,Mundane : Disasters : Accidents
285,"


Accident: Ferry Herald of Free Enterprise
"," N/A

","6 March 1987 at 19:05  (= 7:05 PM )
","Zeebrugge, Belgium, 51n20,  3e12 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
286,"


Accident: Ferry Norman Atlantic fire
"," N/A

","28 December 2014 at 06:00  (= 06:00 AM )
","Igoumenítsa, Greece, 39n30,  20e16 
","EET h2e (is standard time)
",A,Mundane : Disasters : Accidents
287,"


Accident: Fire, China
"," N/A

","25 December 2000 at 21:35  (= 9:35 PM )
","Luoyang (Henan), China, 34n4101,  112e2713 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Accidents&Mundane : Disasters : Deranged Actions
288,"


Accident: Fire, France
"," N/A

","13 March 1971 at 23:45  (= 11:45 PM )
","Sarcelles, France, 49n00,  2e23 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
289,"


Accident: Fire, Holland
"," N/A

","1 January 2001 at 00:15  (= 12:15 AM )
","Volendam, Netherlands, 52n30,  5e04 
","MET h1e (is standard time)
",A,Mundane : Disasters : Accidents
290,"


Accident: Fire, Italy
"," N/A

","31 October 1997 at 11:09  (= 11:09 AM )
","Milan, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",A,
291,"


Accident: Fire, NYC
"," N/A

","25 March 1911 at 16:40  (= 4:40 PM )
","New York, New York, 40n43,  74w00 
","EST h5w (is standard time)
",A,Mundane : Disasters : Accidents
292,"


Accident: Fire, Vienna Theatre
"," N/A

","8 December 1881 at 18:45  (= 6:45 PM )
","Vienna, Austria, 48n13,  16e2223 
","LMT m16e2223 (is local mean time)
",A,Mundane : Disasters : Accidents
293,"


Accident: Fire Coconut Grove
"," N/A

","28 November 1942 at 22:17  (= 10:17 PM )
","Boston, Massachusetts, 42n22,  71w04 
","EWT h4w (is war time)
",C,Mundane : Disasters : Other Disasters
294,"


Accident: Fire Iroquois Thtr.
"," N/A

","30 December 1903 at 15:32  (= 3:32 PM )
","Chicago, Illinois, 41n51,  87w39 
","CST h6w (is standard time)
",C,Mundane : Disasters : Other Disasters
295,"


Accident: Fire in RI Nightclub
"," N/A

","20 February 2003 at 23:00  (= 11:00 PM )
","Warwick, Rhode Island, 41n42,  71w23 
","EST h5w (is standard time)
",A,Mundane : Disasters : Accidents
296,"


Accident: Forsmark failure
"," N/A

","25 July 2006 at 13:21  (= 1:21 PM )
","Forsmark, Sweden, 60n22,  18e09 
","MEDT h2e (is daylight saving time)
",AA,Traits : Personality : Courageous&Mundane : Disasters : Deranged Actions
297,"


Accident: Freeway
"," N/A

","20 February 2001 at 10:15  (= 10:15 AM )
","Cajon, California, 34n18,  117w27 
","PST h8w (is standard time)
",A,Mundane : Disasters : Accidents
298,"


Accident: Fukushima nuclear disaster
"," N/A

","11 March 2011 at 15:45  (= 3:45 PM )
","Fukushima, Japan, 37n45,  140e28 
","JST h9e (is standard time)
",C,Mundane : Disasters : Accidents
299,"


Accident: Furiani Stadium collapse
"," N/A

","5 May 1992 at 20:20  (= 8:20 PM )
","Bastia, France, 42n42,  9e27 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents&Mundane : Disasters : Other Disasters
300,"


Accident: Glider crash
"," N/A

","1 August 1943 at 15:55  (= 3:55 PM )
","St.Louis, Missouri, 38n38,  90w12 
","CWT h5w (is war time)
",C,Mundane : Disasters : Accidents
301,"


Accident: Halifax explosion
"," N/A

","6 December 1917 at 09:04:35  (= 09:04:35 AM )
","Halifax, Nova Scotia (CAN), 44n39,  63w36 
","AST h4w (is standard time)
",AA,Mundane : Disasters : Accidents
302,"


Accident: Heysel Stadium disaster
"," N/A

","29 May 1985 at 19:00  (= 7:00 PM )
","Bruxelles, Belgium, 50n50,  4e20 
","MEDT h2e (is daylight saving time)
",B,Mundane : Disasters : Accidents
303,"


Accident: Hillsborough stadium disaster
"," N/A

","15 April 1989 at 15:06  (= 3:06 PM )
","Sheffield, England, 53n23,  1w30 
","GDT h1e (is daylight saving time)
",B,Mundane : Disasters : Accidents
304,"


Accident: Hindenburg
"," N/A

","6 May 1937 at 19:23  (= 7:23 PM )
","Lakehurst, New Jersey, 40n01,  74w19 
","EDT h4w (is daylight saving time)
",A,Mundane : Disasters : Accidents
305,"


Accident: Jilin chemical plant explosions (2005)
"," N/A

","13 November 2005 at 13:45  (= 1:45 PM )
","Jilin (Jilin), China, 43n5103,  126e3337 
","AWST h8e (is standard time)
",B,Mundane : Disasters : Accidents
306,"


Accident: Kanjuruhan Stadium disaster
"," N/A

","1 October 2022 at 21:45  (= 9:45 PM )
","Malang, Indonesia, 7s59,  112e37 
","WIB h7e (is standard time)
",B,Mundane : Disasters : Deranged Actions
307,"


Accident: Kaohsiung gas explosions
"," N/A

","31 July 2014 at 23:57  (= 11:57 PM )
","Kaohsiung (Taiwan), China, 22n38,  120e17 
","AWST h8e (is standard time)
",A,Mundane : Disasters : Other Disasters
308,"


Accident: Korean ferry Sewol capsized
"," N/A

","16 April 2014 at 08:49:40  (= 08:49:40 AM )
","Mokp'o, Korea (N and S), 34n48,  126e22 
","JST h9e (is standard time)
",A,Mundane : Disasters : Accidents
309,"


Accident: Kursk Submarine
"," N/A

","12 August 2000 at 11:28  (= 11:28 AM )
","Kursk submarine disaster, Russian Federation, 69n40,  37e35 
","MSD h4e (is daylight saving time)
",A,Mundane : Disasters : Deranged Actions
310,"


Accident: Kyshtym nuclear explosion
"," N/A

","29 September 1957 at 16:22  (= 4:22 PM )
","Mayak, Russian Federation, 55n43,  60e49 
","R4T h5e (is standard time)
",A,Mundane : Disasters : Accidents
311,"


Accident: Ladbroke Grove rail crash
"," N/A

","5 October 1999 at 08:08  (= 08:08 AM )
","Ladbroke Grove London, England, 51n3130,  0w1303 
","BST h1e (is daylight saving time)
",A,Mundane : Disasters : Accidents
312,"


Accident: London fire
"," N/A

","18 November 1987 at 19:36  (= 7:36 PM )
","London, England, 51n30,  0w10 
","GMT h0w (is standard time)
",A,Mundane : Disasters : Accidents
313,"


Accident: Mall Explosion
"," N/A

","11 June 1996 at 12:15  (= 12:15 PM )
","Osasco (SÃ£o Paulo), Brazil, 23s3157,  46w4730 
","BZT h3w (is standard time)
",A,Mundane : Disasters : Accidents
